,20150FARI-Blue Rockfish-2009,ParentProject,Project,uniqueID,StationCode,StationName,LocationCode,CommonName,FinalID,mercury_tissue_name,mercury_tissue_prep,MatrixDisplay,mercury_analyte,mercury_result_type,mercury_result,mercury_unit,SampleYear,Region,TargetLatitude,TargetLongitude,moisture_tissue_name,moisture_tissue_prep,moisture_analyte,moisture_result_type,moisture_result,moisture_unit
46,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2017,204TL0138-Largemouth Bass-2017,204TL0138,Upper San Leandro Reservoir,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.843724,ug/g ww,2017,2,37.77606,-122.11748,fillet,Skin off,"Moisture, Total",Average of Individuals,79.424545,%
47,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,205ALMDNR-Largemouth Bass-2019,205ALMDNR,Almaden Reservoir,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,2.711049,ug/g ww,2019,2,37.16245,-121.83106,fillet,Skin off,"Moisture, Total",Average of Individuals,77.81,%
48,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,205ALMDNR-Redear Sunfish-2019,205ALMDNR,Almaden Reservoir,NA,Redear Sunfish,Lepomis microlophus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,1.11425,ug/g ww,2019,2,37.16245,-121.83106,fillet,Skin off,"Moisture, Total",Average of Individuals,81.53,%
49,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,205PAD016-Largemouth Bass-2007,205PAD016,Anderson Lake_BOG,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.971322,ug/g ww,2007,2,37.16265,-121.61243,fillet,Skin off,"Moisture, Total",Average of Individuals L1,78.451818,%
50,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2008,205PAL221-Largemouth Bass-2008,205PAL221,Almaden Lake,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted L1,2.193198,ug/g ww,2008,2,37.241,-121.87131,fillet,Skin off,"Moisture, Total",Average of Individuals L1,78.711818,%
51,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2017,205PCL212-Black Crappie-2017,205PCL212,Coyote Lake,NA,Black Crappie,Pomoxis nigromaculatus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.647,ug/g ww,2017,2,37.09221,-121.53711,fillet,Skin off,"Moisture, Total",Average of Individuals,80.89,%
52,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2008,205PCL212-Largemouth Bass-2008,205PCL212,Coyote Lake,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.744178,ug/g ww,2008,2,37.09221,-121.53711,fillet,Skin off,"Moisture, Total",Average of Individuals L1,74.82,%
53,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Monitoring of Lk_Res 2016,205PCL212-Largemouth Bass-2016,205PCL212,Coyote Lake,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.67339,ug/g ww,2016,2,37.09221,-121.53711,fillet,Skin off,"Moisture, Total",Average of Individuals,78.100909,%
54,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2017,205PCL212-Largemouth Bass-2017,205PCL212,Coyote Lake,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.818776,ug/g ww,2017,2,37.09221,-121.53711,fillet,Skin off,"Moisture, Total",Average of Individuals,80.344545,%
55,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2008,205PCR128-Largemouth Bass-2008,205PCR128,Calero Reservoir,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted L1,1.104615,ug/g ww,2008,2,37.17839,-121.77731,fillet,Skin off,"Moisture, Total",Average of Individuals L1,76.796875,%
56,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,205PCR128-Largemouth Bass-2021,205PCR128,Calero Reservoir,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.501138,ug/g ww,2021,2,37.17839,-121.77731,fillet,Skin off,"Moisture, Total",Average of Individuals,78.64,%
57,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,205PLR144-Largemouth Bass-2019,205PLR144,Lexington Reservoir_BOG,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.552534,ug/g ww,2019,2,37.17349,-121.9856,fillet,Skin off,"Moisture, Total",Average of Individuals,77.470833,%
58,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,205PLR144-Spotted Bass-2019,205PLR144,Lexington Reservoir_BOG,NA,Spotted Bass,Micropterus punctulatus,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.702961,ug/g ww,2019,2,37.17349,-121.9856,fillet,Skin off,"Moisture, Total",Average of Individuals,77.085714,%
59,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2008,205PLV218-Largemouth Bass-2008,205PLV218,Lake Vasona,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals >=305 mm L1,0.179125,ug/g ww,2008,2,37.2439,-121.96902,fillet,Skin off,"Moisture, Total",Average of Individuals L1,78.727273,%
60,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2015,205PLV218-Largemouth Bass-2015,205PLV218,Lake Vasona,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.139382,ug/g ww,2015,2,37.2439,-121.96902,fillet,Skin off,"Moisture, Total",Average of Individuals,78.492727,%
61,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,205PSC048-Largemouth Bass-2007,205PSC048,Stevens Creek Reservoir,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.756086,ug/g ww,2007,2,37.2958,-122.0789,fillet,Skin off,"Moisture, Total",Average of Individuals L1,78.029091,%
62,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,205PSC048-Largemouth Bass-2019,205PSC048,Stevens Creek Reservoir,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals >=305 mm,0.74,ug/g ww,2019,2,37.2958,-122.0789,fillet,Skin off,"Moisture, Total",Average of Individuals,78.495,%
63,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,205ST0538-Bluegill-2019,205ST0538,Guadalupe Reservoir-205ST0538,NA,Bluegill,Lepomis macrochirus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,1.0344,ug/g ww,2019,2,37.1925,-121.8727,fillet,Skin off,"Moisture, Total",Average of Individuals,79.296,%
64,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,205ST0538-Largemouth Bass-2019,205ST0538,Guadalupe Reservoir-205ST0538,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,4.275,ug/g ww,2019,2,37.1925,-121.8727,fillet,Skin off,"Moisture, Total",Average of Individuals,78.014,%
65,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,205ST0538-Rainbow Trout-2019,205ST0538,Guadalupe Reservoir-205ST0538,NA,Rainbow Trout,Oncorhynchus mykiss,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,3.815,ug/g ww,2019,2,37.1925,-121.8727,fillet,Skin off,"Moisture, Total",Average of Individuals,77.58,%
66,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,205TU0132-Largemouth Bass-2007,205TU0132,Oiger Quarry Ponds,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.407893,ug/g ww,2007,2,37.18304,-121.69343,fillet,Skin off,"Moisture, Total",Average of Individuals L1,79.291818,%
67,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,205TU0132-Largemouth Bass-2019,205TU0132,Oiger Quarry Ponds,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.457476,ug/g ww,2019,2,37.18304,-121.69343,fillet,Skin off,"Moisture, Total",Average of Individuals,78.688571,%
68,Surface Water Ambient Monitoring Program,SWAMP Wildlife Contamination in Lakes and Resrv,Statewide Lakes Wildlife Contamination Study 2013,206LHENSY-Largemouth Bass-2013,206LHENSY,Lake Hennessey,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals >=305 mm,0.4528,ug/g ww,2013,2,38.48947,-122.375956,fillet,Skin off,"Moisture, Total",Average of Individuals,77.568,%
69,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,206PLC157-Largemouth Bass-2007,206PLC157,Lake Chabot (Vallejo),L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.416296,ug/g ww,2007,2,38.13618,-122.23565,fillet,Skin off,"Moisture, Total",Average of Individuals L1,78.1,%
70,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,206PLC157-Largemouth Bass-2021,206PLC157,Lake Chabot (Vallejo),NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.40664,ug/g ww,2021,2,38.13618,-122.23565,fillet,Skin off,"Moisture, Total",Average of Individuals,79.311429,%
71,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,206PSP205-Largemouth Bass-2007,206PSP205,San Pablo Reservoir,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.511974,ug/g ww,2007,2,37.92298363,-122.237903,fillet,Skin off,"Moisture, Total",Average of Individuals L1,77.630909,%
72,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2017,206PSP205-Largemouth Bass-2017,206PSP205,San Pablo Reservoir,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.604825,ug/g ww,2017,2,37.92298363,-122.237903,fillet,Skin off,"Moisture, Total",Average of Individuals,77.995455,%
73,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2023,206PSP205-Largemouth Bass-2023,206PSP205,San Pablo Reservoir,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,1.067029,ug/g ww,2023,2,37.92298363,-122.237903,fillet,Skin off,"Moisture, Total",Average of Individuals,78.667143,%
74,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Monitoring of Lk_Res 2016,206STAFLK-Largemouth Bass-2016,206STAFLK,Stafford Lake,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.473081,ug/g ww,2016,2,38.11392,-122.64416,fillet,Skin off,"Moisture, Total",Average of Individuals,79.689091,%
75,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,206TB0298-Largemouth Bass-2007,206TB0298,Briones Reservoir,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals >=305 mm L1,0.285562,ug/g ww,2007,2,37.92423,-122.19054,fillet,Skin off,"Moisture, Total",Average of Individuals L1,76.76375,%
76,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,206TH0126-Largemouth Bass-2007,206TH0126,Lake Henne,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.405654,ug/g ww,2007,2,38.58773,-122.46204,fillet,Skin off,"Moisture, Total",Average of Individuals L1,79.54375,%
77,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,206TH0126-Largemouth Bass-2019,206TH0126,Lake Henne,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.553052,ug/g ww,2019,2,38.58773,-122.46204,fillet,Skin off,"Moisture, Total",Average of Individuals,78.599286,%
78,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2008,207PLF001-Largemouth Bass-2008,207PLF001,Lafayette Reservoir_BOG,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.332587,ug/g ww,2008,2,37.88237,-122.14128,fillet,Skin off,"Moisture, Total",Average of Individuals L1,78.700909,%
79,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,207PLF001-Largemouth Bass-2021,207PLF001,Lafayette Reservoir_BOG,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.166621,ug/g ww,2021,2,37.88237,-122.14128,fillet,Skin off,"Moisture, Total",Average of Individuals,79.232857,%
80,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20150FARI-Gopher Rockfish-2009,20150FARI,Farallon Islands,NA,Gopher Rockfish,Sebastes carnatus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.289,ug/g ww,2009,2,37.70235815,-123.0300293,NA,NA,NA,NA,NA,NA
81,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20248PACC-Gopher Rockfish-2009,20248PACC,Pacifica Coast,NA,Gopher Rockfish,Sebastes carnatus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.341,ug/g ww,2009,2,37.60257954,-122.5360977,NA,NA,NA,NA,NA,NA
82,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Monitoring of Lk_Res 2016,201ALPELK-Bluegill-2016,201ALPELK,Alpine Lake,NA,Bluegill,Lepomis macrochirus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.1385,ug/g ww,2016,2,37.94945,-122.62845,NA,NA,NA,NA,NA,NA
83,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20151SMAC-White Croaker-2009,20151SMAC,Southern Marin Coast,NA,White Croaker,Genyonemus lineatus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.208,ug/g ww,2009,2,37.888443,-122.720843,NA,NA,NA,NA,NA,NA
84,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20152TBAY-Leopard shark-2009,20152TBAY,Tomales Bay,NA,Leopard shark,Triakis semifasciata,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,1.22,ug/g ww,2009,2,38.187871,-122.927284,NA,NA,NA,NA,NA,NA
85,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20152TBAY-Brown Smooth-hound Shark-2009,20152TBAY,Tomales Bay,NA,Brown Smooth-hound Shark,Mustelus henlei,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.832,ug/g ww,2009,2,38.187871,-122.927284,NA,NA,NA,NA,NA,NA
86,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2020,20152TBAY-California Halibut-2020,20152TBAY,Tomales Bay,NA,California Halibut,Paralichthys californicus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.129,ug/g ww,2020,2,38.187871,-122.927284,NA,NA,NA,NA,NA,NA
87,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20153NMRC-Brown Rockfish-2009,20153NMRC,Northern Marin Coast,NA,Brown Rockfish,Sebastes auriculatus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.242,ug/g ww,2009,2,38.21325308,-122.9961377,NA,NA,NA,NA,NA,NA
88,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Monitoring of Lk_Res 2016,201KENTLK-Bluegill-2016,201KENTLK,Kent Lake,NA,Bluegill,Lepomis macrochirus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.2675,ug/g ww,2016,2,37.98381,-122.69343,NA,NA,NA,NA,NA,NA
89,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,201PSL093-Brown Bullhead-2021,201PSL093,Soulejoule Lake,NA,Brown Bullhead,Ameiurus nebulosus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.134,ug/g ww,2021,2,38.14734508,-122.7778744,NA,NA,NA,NA,NA,NA
90,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2017,201PNL105-Black Crappie-2017,201PNL105,Nicasio Lake,NA,Black Crappie,Pomoxis nigromaculatus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.184,ug/g ww,2017,2,38.07682,-122.73043,NA,NA,NA,NA,NA,NA
91,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2020,20246PPTH-Black Perch-2020,20246PPTH,Pillar Point Harbor,NA,Black Perch,Embiotoca jacksoni,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.039,ug/g ww,2020,2,37.501376,-122.4783349,NA,NA,NA,NA,NA,NA
